epoch,loss,lr,mae,val_loss,val_mae
0,0.00017658568685874343,0.0003,0.007008675020188093,5.3777830544277094e-06,0.001722883083857596
1,0.00016826715727802366,0.0003,0.006827441975474358,1.0452406968397554e-05,0.002525974065065384
2,0.0001572521578054875,0.0003,0.006783496122807264,9.709137884783559e-06,0.002398769138380885
3,0.0001364434283459559,0.0003,0.0065172407776117325,1.9113364032818936e-05,0.003444033209234476
4,0.00010712177027016878,0.0003,0.006087931338697672,2.8143918825662695e-05,0.004288475029170513
5,7.469153206329793e-05,0.0003,0.00529309781268239,1.5518291547778063e-05,0.0030615890864282846
6,5.310844426276162e-05,0.0003,0.004623388405889273,2.075396514555905e-05,0.0035466812551021576
7,4.1092076571658254e-05,0.0003,0.0041099120862782,1.9444407371338457e-05,0.0035974180791527033
8,3.576241579139605e-05,0.0003,0.003932968247681856,6.087592737458181e-06,0.0019696762319654226
9,3.004870086442679e-05,0.0003,0.003578828414902091,1.669043740548659e-05,0.0033402210101485252
10,2.6012454327428713e-05,0.0003,0.0033161314204335213,1.3640827091876417e-05,0.003012166591361165
11,2.4291453883051872e-05,0.0003,0.003229422029107809,7.688479854550678e-06,0.002164185978472233
12,2.2052232452551834e-05,0.0003,0.003070260165259242,1.1195133083674591e-05,0.0026891494635492563
13,2.0485447748797014e-05,0.0003,0.0029782860074192286,6.2848994275555015e-06,0.00203389348462224
14,1.944765608641319e-05,0.0003,0.0029143516439944506,7.140111847547814e-06,0.0021347098518162966
15,1.8351936887484044e-05,0.0003,0.0028137925546616316,2.0532690541585907e-05,0.0035558538511395454
16,1.7018690414261073e-05,0.0003,0.002702718833461404,4.707230800704565e-06,0.001751075265929103
17,1.644848998694215e-05,0.0003,0.002678863937035203,4.7008561523398384e-06,0.0017506020376458764
18,1.605640136403963e-05,0.0003,0.0026564106810837984,1.5459940186701715e-05,0.003173250937834382
19,1.4861760973872151e-05,0.0003,0.0025182978715747595,1.2324606359470636e-05,0.002748139901086688
20,1.4979864317865577e-05,0.0003,0.002576900413259864,2.1099513105582446e-05,0.0036375364288687706
21,1.4422578715311829e-05,0.0003,0.002508806763216853,1.020413310470758e-05,0.002516820328310132
22,1.4116079000814352e-05,0.0003,0.002490733750164509,1.5484625691897236e-05,0.0032235081307590008
23,1.4098069186729845e-05,0.0003,0.0025179178919643164,1.4355441635416355e-05,0.002918121637776494
24,1.387165320920758e-05,0.0003,0.002486512064933777,7.822000043233857e-06,0.0022147034760564566
25,1.311356209043879e-05,0.0003,0.002411536406725645,2.1843134163646027e-05,0.0037520446348935366
26,1.2582901035784744e-05,0.0003,0.002368137240409851,3.925793407688616e-06,0.0015173869905993342
27,1.2567103112814948e-05,0.0003,0.0023662701714783907,1.722691195027437e-05,0.0033232050482183695
28,1.2613824765139725e-05,0.0003,0.0023986147716641426,3.0573219191865064e-06,0.0013189654564484954
29,1.2778205928043462e-05,0.0003,0.0024251544382423162,3.965746145695448e-06,0.0015891476068645716
30,1.1296187039988581e-05,0.0003,0.0022212297189980745,2.8168449716758914e-05,0.004118426237255335
31,1.1401872143323999e-05,0.0003,0.0022458697203546762,6.952626335987588e-06,0.0019910272676497698
32,1.0927480616373941e-05,0.0003,0.0021822925191372633,1.4620548427046742e-05,0.00302641442976892
33,1.090633941203123e-05,0.0003,0.0022136764600872993,4.8366200644522905e-06,0.001682233763858676
34,1.0868520803342108e-05,0.0003,0.002218916080892086,1.0240702067676466e-05,0.0026734808925539255
35,1.1098737559223082e-05,0.0003,0.002263372065499425,1.9530310964910313e-05,0.0035662862937897444
36,1.0204664249613415e-05,0.0003,0.0021358344238251448,2.0692217731266282e-05,0.0036967983469367027
37,1.1101915333711077e-05,0.0003,0.0022450885735452175,3.0756707474211e-06,0.0013566231355071068
38,9.677166417532135e-06,0.0003,0.0020798752084374428,6.028074949426809e-06,0.001950206933543086
39,1.0472388566995505e-05,0.0003,0.002186062280088663,1.56534315465251e-05,0.003051599022001028
40,1.0351343007641844e-05,0.0003,0.002185334451496601,5.21030233358033e-06,0.0017046992434188724
41,9.558579222357366e-06,0.0003,0.002081214915961027,9.136264452536125e-06,0.002461367752403021
42,9.521846550342161e-06,0.0003,0.0020714150741696358,9.982908522943035e-06,0.0025248711463063955
43,9.371435226057656e-06,0.0003,0.002065087202936411,7.669625119888224e-06,0.002182064112275839
44,9.44470230024308e-06,0.0003,0.002061721170321107,2.2088240712037077e-06,0.0011514374054968357
45,8.986160537460819e-06,0.0003,0.002025535563006997,7.423157967423322e-06,0.002133481204509735
46,9.036481969815213e-06,0.0003,0.002022512722760439,1.2082746252417564e-05,0.0028104118537157774
47,9.080972631636541e-06,0.0003,0.0020515690557658672,1.0439591278554872e-05,0.002678944729268551
48,8.852694918459747e-06,0.0003,0.002003309316933155,4.506123786995886e-06,0.0016698301769793034
49,8.53092842589831e-06,0.0003,0.0019541564397513866,5.498196514963638e-06,0.0018462237203493714
50,8.548298865207471e-06,0.0003,0.0019601217936724424,1.2435356438800227e-05,0.002787681296467781
51,7.991661732376087e-06,0.0003,0.0018794529605656862,4.0984064071381e-06,0.0016112305456772447
52,8.465115570288617e-06,0.0003,0.0019692392088472843,2.297439777976251e-06,0.0011533173965290189
53,8.146697837219108e-06,0.0003,0.0019220156827941537,1.993792693610885e-06,0.001098566222935915
54,7.953915883263107e-06,0.0003,0.0018842872232198715,5.525642791326391e-06,0.0017598846461623907
55,8.283587703772355e-06,0.0003,0.00195467215962708,3.1074605431058444e-06,0.0013217247324064374
56,7.81743619882036e-06,0.0003,0.0018847810570150614,2.926032721006777e-06,0.001337213907390833
57,7.96311996964505e-06,0.0003,0.0018985876813530922,5.390370915847598e-06,0.0017771705752238631
58,7.653594366274774e-06,0.0003,0.001840243930928409,3.741237151189125e-06,0.001523748622275889
59,7.679682312300429e-06,0.0003,0.0018736922647804022,5.329775831341976e-06,0.0016811402747407556
60,7.6060578066972084e-06,0.0003,0.0018598734168335795,4.19297111875494e-06,0.001653657527640462
61,7.343322067754343e-06,0.0003,0.0018085368210449815,6.703943199681817e-06,0.0021441378630697727
62,7.469575393770356e-06,0.0003,0.0018595646834000945,4.8292145038431045e-06,0.0017259655287489295
63,7.236897999973735e-06,0.0003,0.0017990554915741086,2.8639092306548264e-06,0.001218663644976914
64,7.3951932790805586e-06,0.0003,0.0018492802046239376,1.1296425327600446e-05,0.002829108852893114
65,7.258066943904851e-06,0.0003,0.0018179613398388028,4.416336651047459e-06,0.0015806680312380195
66,7.5445236689120065e-06,0.0003,0.0018888136837631464,4.879626885667676e-06,0.001795737654902041
67,6.757445589755662e-06,0.0003,0.0017552508506923914,3.2027257930167252e-06,0.001414565253071487
68,7.634993380634114e-06,0.0003,0.0018986876821145415,7.851998816477135e-06,0.002105479361489415
69,7.097281468304573e-06,0.0003,0.001807636464945972,2.6715517833508784e-06,0.001234605093486607
70,7.1173885771713685e-06,0.0003,0.0017993486253544688,9.366270205646288e-06,0.00220588524825871
71,6.412841685232706e-06,0.0003,0.0017089558532461524,5.186055659578415e-06,0.0018345724092796445
72,7.1624963311478496e-06,0.0003,0.0018309502629563212,8.516052730556112e-06,0.002181209623813629
73,6.65742709315964e-06,0.0003,0.0017491632606834173,1.9491246803227114e-06,0.0010929801501333714
74,6.4867872424656525e-06,0.0003,0.0016987675335258245,6.313366611720994e-06,0.0017550404882058501
75,6.470015250670258e-06,0.0003,0.0017176911933347583,3.7020765830675373e-06,0.0014576847897842526
76,6.4781038418004755e-06,0.0003,0.001726664137095213,4.4357639126246795e-06,0.0017139045521616936
77,6.235234195628436e-06,0.0003,0.0016615575877949595,9.890512046695221e-06,0.00234282691963017
78,6.546528311446309e-06,0.0003,0.0017314828000962734,4.768234703078633e-06,0.001641486189328134
